fire_id,year,jd,date,geom_lat,geom_lon,weather_lat,weather_lon,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration
125,2019,239,2019-08-27,61.90145785395943,-146.31785063443832,61.90075126230679,-146.31808904623384,51.0,11.690999984741211,3.740999698638916,7.68891716003418,0.20000000298023224,0.20000000298023224,0.0,11.592893600463867,26.280000686645508,294.1900634765625,15.720000267028809,2.238564968109131
125,2019,240,2019-08-28,61.903725495604625,-146.31630678922565,61.90075126230679,-146.31808904623384,2.0,13.890999794006348,4.290999889373779,9.37641716003418,0.0,0.0,0.0,7.9932966232299805,24.84000015258789,216.93490600585938,15.399999618530273,2.291449785232544
125,2019,241,2019-08-29,61.9075910409152,-146.3175056087151,61.90075126230679,-146.31808904623384,2.0,14.390999794006348,5.240999698638916,9.893082618713379,0.0,0.0,0.0,7.928177833557129,19.440000534057617,278.1299743652344,16.59000015258789,2.4783623218536377
125,2019,242,2019-08-30,61.90557755679837,-146.3230860796313,61.90075126230679,-146.31808904623384,3.0,14.640999794006348,4.690999984741211,9.874334335327148,0.0,0.0,0.0,10.464797019958496,25.19999885559082,153.4349365234375,16.600000381469727,2.5337886810302734
125,2019,243,2019-08-31,61.894455617038545,-146.3334089462284,61.90075126230679,-146.31808904623384,51.0,15.390999794006348,6.340999603271484,9.668084144592285,0.30000001192092896,0.30000001192092896,0.0,19.06300926208496,42.47999954223633,163.68951416015625,11.800000190734863,2.8743929862976074
125,2019,244,2019-09-01,61.89394122275321,-146.33346927718074,61.90075126230679,-146.31808904623384,3.0,11.940999984741211,5.240999698638916,8.403499603271484,0.0,0.0,0.0,22.972400665283203,49.68000030517578,144.46224975585938,9.4399995803833,1.6977202892303467
125,2019,245,2019-09-02,61.894061273971495,-146.3338704248567,61.90075126230679,-146.31808904623384,61.0,11.540999412536621,5.540999889373779,7.999332427978516,3.299999713897705,3.299999713897705,0.0,30.659236907958984,64.07999420166016,144.60128784179688,10.220000267028809,1.9737393856048584
127,2019,178,2019-06-27,63.47947919104297,-151.73255288953604,63.484004704987825,-151.72655864046035,3.0,25.42249870300293,15.072500228881836,20.29124641418457,0.0,0.0,0.0,10.315114974975586,20.15999984741211,164.6043701171875,21.610000610351562,4.196338176727295
127,2019,179,2019-06-28,63.48664994666276,-151.73277641374102,63.484004704987825,-151.72655864046035,3.0,27.572498321533203,16.322498321533203,22.414167404174805,0.0,0.0,0.0,11.119280815124512,21.239999771118164,181.17514038085938,23.440000534057617,4.930344581604004
127,2019,180,2019-06-29,63.487087931996705,-151.72099502967845,63.484004704987825,-151.72655864046035,1.0,28.372499465942383,18.772499084472656,23.924583435058594,0.0,0.0,0.0,12.727921485900879,23.759998321533203,223.86053466796875,25.59000015258789,5.566070079803467
